alsa-utils 1.2.15.2-1
apfs-fuse-git r101.66b86bd-3
atftp 0.8.0-5
audacity 1:3.7.7-1
base 3-2
base-devel 1-2
bc 1.08.2-1
bind 9.20.17-1
binder_linux-dkms 6.16-2
blueman 2.4.6-2
blueprint-compiler 0.18.0-2
bluez-utils 5.85-1
bolt 0.9.10-1
bottles 2:60.1-1
brave-bin 1:1.85.120-1
bridge-utils 1.7.1-3
brightnessctl 0.5.1-3
ccache 4.12.2-1
cdemu-client 3.2.5-2
cdemu-daemon 3.2.7-2
chromium 143.0.7499.192-1
containerlab-bin 0.71.0-1
cups 2:2.4.16-1
cups-pdf 3.0.2-1
dmidecode 3.7-1
docker 1:29.1.3-1
docker-compose 5.0.1-1
dosbox 0.74.3-3
dosfstools 4.2-5
dotnet-runtime-8.0 8.0.22.sdk122-1
dpkg 1.23.3-1
efibootmgr 18-3
expac 10-12
ffmpeg 2:8.0.1-2
filezilla 3.69.5-3
firefox 146.0.1-1
flashpoint-launcher-bin 14.0.3_20251103-6
flashprint 5.8.7-1
flatpak 1:1.16.2-1
foot 1.25.0-1
fping 5.5-1
fprintd 1.94.5-1
fwupd 2.0.19-1
galendae-git r49.7cf032b-1
gammastep 2.0.11-2
gimp 3.0.6-2
git 2.52.0-2
git-lfs 3.7.1-1
gnu-netcat 0.7.1-12
godot 4.5.1-1
grim 1.5.0-2
grub 2:2.14rc1.r54.g29f3131a-2
handbrake 1.10.2-4
imv 5.0.1-1
iotop 0.6-13
ipcalc 0.51-2
iperf3 3.20-1
iwd 3.10-1
iwgtk 0.9-1
jq 1.8.1-1
kanshi 1.8.0-2
kitty 0.45.0-4
kiwix-desktop 2.4.1-2
lbzip2 2.5-6
less 1:685-1
lib32-gcc-libs 15.2.1+r447+g6a64f6c3ebb8-1
lib32-glibc 2.42+r47+ga1d3294a5bed-1
lib32-gtk2 2.24.33-5
lib32-vulkan-radeon 1:25.3.3-2
libreoffice-fresh 25.8.4-2
linux 6.18.4.arch1-1
linux-firmware 20251125-2
linux-headers 6.18.4.arch1-1
mako 1.10.0-1
man-db 2.13.1-1
melonds 1.1-2
meson 1.10.0-4
mgba-qt 0.10.5-2
mold 2.40.4-1
mopidy 4.0.0a2-2
mpv 1:0.41.0-2
mtools 1:4.0.49-1
mtr 0.96-1
nano 8.7-1
net-tools 2.10-3
nextcloud-client 2:4.0.4-1
nfs-utils 2.8.4-1
nmap 7.98-4
nnn 5.1-1
nordvpn-bin 4.3.1-1
noto-fonts-emoji 1:2.051-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
nvidia-container-toolkit 1.18.1-1
nvidia-open 590.48.01-6
nvidia-settings 590.48.01-1
nvidia-utils 590.48.01-2
nvm 0.40.3-1
openssh 10.2p1-2
pacman-contrib 1.13.1-1
pam-fprint-grosshack 0.3.0-1
pam_ssh 2.3-3
pavucontrol 1:6.2-1
pbzip2 1.1.13-4
pcsx2-latest-bin 2.6.0-1
picotool 2.2.0-1
pigz 2.8-2
pipewire 1:1.4.9-2
pipewire-alsa 1:1.4.9-2
pipewire-audio 1:1.4.9-2
pipewire-jack 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
playerctl 2.4.1-5
playonlinux 4.4.r47.g10f7853-2
plocate 1.1.23-1
plzip 1.12.rc1-1
postgresql 18.1-2
power-profiles-daemon 0.30-1
powerstat 0.04.05-1
powertop 2.15-2
prusa-slicer 2.9.4-3
putty 0.83-1
pyenv 1:2.6.17-2
python-black 25.12.0-4
python-build 1.3.0-4
python-flake8 1:7.3.0-2
python-gitpython 3.1.46-2
python-gobject 3.54.5-2
python-hypothesis 6.150.0-1
python-installer 0.7.0-14
python-isort 7.0.0-2
python-matplotlib 3.10.8-3
python-maturin 1.11.4-1
python-pip 25.3-3
python-pygit2 1.19.1-2
python-pytest-benchmark 4.0.0-9
python-safetensors 0.7.0-1
python-setuptools-rust 1.12.0-3
python-setuptools-scm 9.2.2-3
python-transformers 4.57.1-2
qbittorrent 5.1.4-1
qdirstat 1.9-2
qmk 1.1.8-2
qt5-wayland 5.15.18+kde+r55-1
qt6-wayland 6.10.1-1
r 4.5.2-3
reflector 2023-4
retroarch 1.22.2-1
rpi-imager 2.0.2-1
ruffle-nightly-bin 2026.1.11-1
samba 2:4.23.4-2
scdoc 1.11.4-1
shotcut 25.10.31-1
slurp 1.5.0-1
solaar 1.1.18-2
speedtest-cli 2.1.3-10
spotify-launcher 0.6.4-1
steam 1.0.0.85-1
strace 6.18-1
stress 1.0.7-3
sway 1:1.11-1
sway-audio-idle-inhibit-git 0.2.0.r56.76cb8d4-1
swaybg 1.2.1-1
swayidle 1.9.0-1
system-config-printer 1.5.18-6
tailscale 1.92.5-1
tcpdump 4.99.6-1
tllist 1.1.0-2
traceroute 2.1.6-1
tree 2.2.1-1
ttf-hack 3.003-7
ttf-hack-nerd 3.4.0-1
ttf-poppins 4.003-1
udiskie 2.5.8-2
uftp 5.0.3-1
unraid-usb-creator-git 1.0.1.r53.g4caf8314-1
unrar 1:7.2.3-1
unzip 6.0-23
vhba-module-dkms 20250329-59
vi 1:070224-6
vim 9.1.2077-1
visual-studio-code-bin 1.108.0-1
viu 1.6.1-1
vkbasalt 0.3.2.10-1
vlc 3.0.21-32
vlc-plugins-all 3.0.21-32
vulkan-mesa-layers 1:25.3.3-2
vulkan-radeon 1:25.3.3-2
vulkan-tools 1.4.335.0-1
waydroid 1.6.1-1
wdisplays 1.1.3-1
wev 1.1.0-1
wf-recorder 0.6.0-1
wget 1.25.0-3
which 2.23-1
wine 10.20-2
wireplumber 0.5.13-1
wireshark-qt 4.6.2-2
wl-clipboard 1:2.2.1-3
wlr-randr 0.5.0-1
wofi 1.5.3-1
wtype 0.4-2
xdg-desktop-portal-wlr 0.8.1-1
xorg-xwayland 24.1.9-1
yambar 1.11.0-1
yambar-debug 1.11.0-1
yay 12.5.7-1
zsh 5.9-5
zsh-autosuggestions 0.7.1-1
zsh-completions 0.35.0-3
zsh-syntax-highlighting 0.8.0-1
