apfs-fuse-git r101.66b86bd-3
binder_linux-dkms 6.16-2
bottles 2:60.1-1
brave-bin 1:1.85.120-1
containerlab-bin 0.71.0-1
flashpoint-launcher-bin 14.0.3_20251103-6
flashprint 5.8.7-1
galendae-git r49.7cf032b-1
gnu-netcat 0.7.1-12
gtk2 2.24.33-5
icoextract 0.2.0-1
iwgtk 0.9-1
lib32-gtk2 2.24.33-5
melonds 1.1-2
nordvpn-bin 4.3.1-1
pam-fprint-grosshack 0.3.0-1
pam_ssh 2.3-3
patool 4.0.3-1
pcsx2-latest-bin 2.6.0-1
picotool 2.2.0-1
playonlinux 4.4.r47.g10f7853-2
plzip 1.12.rc1-1
powerstat 0.04.05-1
python-fvs 0.3.4-4
python-pathvalidate 3.3.1-1
python-pipe 2.2-1
python-safetensors 0.7.0-1
python-setuptools-reproducible 0.1-1
python-steamgriddb 1.0.5-4
python-tokenizers 0.22.1-1
python-transformers 4.57.1-2
qdirstat 1.9-2
ruffle-nightly-bin 2026.1.11-1
ruffle-nightly-bin-debug 2026.1.11-1
sway-audio-idle-inhibit-git 0.2.0.r56.76cb8d4-1
ttf-poppins 4.003-1
uftp 5.0.3-1
unraid-usb-creator-git 1.0.1.r53.g4caf8314-1
visual-studio-code-bin 1.108.0-1
vkbasalt 0.3.2.10-1
vkbasalt-cli 3.1.1-3
wdisplays 1.1.3-1
yambar 1.11.0-1
yambar-debug 1.11.0-1
yay 12.5.7-1
